Sno,Carpet,Status,Floor,Transaction,Year,Price
466,49,ACTIVE,,FOR SALE,2017,736
467,,,2,NEW LISTING FOR SALE,1950,
468,2268,ACTIVE,3,FOR SALE,2006,1278
469,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
470,,,1,FOR SALE,1923,600
471,,ACTIVE,,NEW LISTING FOR SALE,1909,
472,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
473,,ACTIVE,,FOR SALE,1939,4824
474,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
475,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
476,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
477,,ACTIVE,,FOR SALE,1920,949
478,,ACTIVE,,FOR SALE,1899,434
479,,ACTIVE,,FOR SALE,1911,2149
480,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
481,,,,FOR SALE,2015,
482,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
483,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
484,,ACTIVE,2,SALE UNDER CONTRACT,1906,
485,,ACTIVE,,SALE UNDER CONTRACT,1906,
486,,ACTIVE,3,FOR SALE,2008,1005
